n_participant,group,age,gender,class,pre_test_order,version ,primary,schelling,cq_cv,cv_1,cv_2,cv_3,cv_4,cv_5,cq_fcv,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,coarse_visual_1,coarse_visual_2,coarse_visual_3,coarse_visual_4,coarse_visual_5,Coarse_Visual_Mean,Y2_Coarse_Visual_Mean,forced_choice_1,forced_choice_2,forced_choice_3,forced_choice_4,forced_choice_5,Y2_Forced_Choice_Verbal_Mean,adult_coarse_visual_1,adult_coarse_visual_2,adult_coarse_visual_3,adult_coarse_visual_4,adult_coarse_visual_5,Adults_Coarse_Visual_Mean,adult_forced_choice_5,adult_forced_choice_1,adult_forced_choice_2,adult_forced_choice_3,adult_forced_choice_4,Adult_Forced_Choice_Verbal_Mean,crossed_coarse_visual_1,crossed_coarse_visual_2,crossed_coarse_visual_3,crossed_coarse_visual_4,crossed_coarse_visual_5,crossed_forced_choice_1,crossed_forced_choice_2,crossed_forced_choice_3,crossed_forced_choice_4,crossed_forced_choice_5,Crossed_Coarse_Visual_Mean,Crossed_Forced_Choice_Verbal_Mean
51,year_two,83,female,g,a,2,c,b,c,a,b,b,c,b,teacher,banana,tree,pillow,shell,swings,0.390243902,0.390243902,0.219512195,0.195121951,0.170731707,0.273170732,0.268292683,0.756097561,0.414634146,0.634146341,0.292682927,0.756097561,0.570731707,,,,,,,,,,,,,0.608695652,0.391304348,0.130434783,0.043478261,0.130434783,0.869565217,0.52173913,0.695652174,0.782608696,0.173913043,0.260869565,0.618181818
52,adults,47,female,,,,,,c,a,b,b,a,b,teacher,banana,tree,teddy,shell,grass,,,,,,,,,,,,,,0.608695652,0.391304348,0.130434783,0.652173913,0.130434783,0.463768116,0.47826087,0.869565217,0.52173913,0.130434783,0.782608696,0.556521739,,,,,,,,,,,,
53,adults,45,male,,,,,,b,b,d,c,a,b,teacher,banana,tree,teddy,shell,grass,,,,,,,,,,,,,,0.043478261,0.130434783,0.173913043,0.652173913,0.130434783,0.289855072,0.47826087,0.869565217,0.52173913,0.130434783,0.782608696,0.556521739,,,,,,,,,,,,
54,adults,47,Female,,,,,,c,a,b,a,a,c,teacher,banana,bird,pillow,shell,trees,,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.130434783,0.623188406,0.217391304,0.869565217,0.043478261,0.695652174,0.782608696,0.52173913,,,,,,,,,,,,
55,adults,38,Female,,,,,,d,a,b,c,d,a,teacher,banana,tree,pillow,shell,grass,,,,,,,,,,,,,,0.608695652,0.391304348,0.173913043,0.086956522,0.47826087,0.289855072,0.47826087,0.869565217,0.52173913,0.695652174,0.782608696,0.669565217,,,,,,,,,,,,
56,adults,47,Female,,,,,,c,c,d,a,a,d,teacher,banana,tree,teddy,shell,swings,,,,,,,,,,,,,,0.217391304,0.130434783,0.608695652,0.652173913,0.130434783,0.492753623,0.173913043,0.869565217,0.52173913,0.130434783,0.782608696,0.495652174,,,,,,,,,,,,
57,adults,46,Female,,,,,,a,c,c,a,b,c,teacher,banana,fence,pillow,shell,trees,,,,,,,,,,,,,,0.217391304,0.043478261,0.608695652,0.086956522,0.130434783,0.304347826,0.217391304,0.869565217,0.347826087,0.695652174,0.782608696,0.582608696,,,,,,,,,,,,
58,adults,46,Female,,,,,,c,d,d,b,c,d,teacher,banana,tree,pillow,shell,swings,,,,,,,,,,,,,,0,0.130434783,0.130434783,0.043478261,0.130434783,0.057971014,0.173913043,0.869565217,0.52173913,0.695652174,0.782608696,0.608695652,,,,,,,,,,,,
59,adults,47,Female,,,,,,a,a,b,a,b,d,teacher,banana,fence,pillow,shell,grass,,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.086956522,0.130434783,0.434782609,0.47826087,0.869565217,0.347826087,0.695652174,0.782608696,0.634782609,,,,,,,,,,,,
60,adults,44,Female,,,,,,a,c,a,c,d,a,teacher,banana,tree,pillow,shell,grass,,,,,,,,,,,,,,0.217391304,0.304347826,0.173913043,0.086956522,0.47826087,0.15942029,0.47826087,0.869565217,0.52173913,0.695652174,0.782608696,0.669565217,,,,,,,,,,,,
61,adults,36,Male,,,,,,a,a,b,a,a,a,teacher,banana,bird,teddy,shell,swings,,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.47826087,0.623188406,0.173913043,0.869565217,0.043478261,0.130434783,0.782608696,0.4,,,,,,,,,,,,
62,adults,41,Female,,,,,,a,a,a,a,a,a,teacher,banana,tree,book,shell,grass,,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.623188406,0.47826087,0.869565217,0.52173913,0.086956522,0.782608696,0.547826087,,,,,,,,,,,,
63,adults,44,Male,,,,,,a,a,a,a,a,a,teacher,chair,tree,pillow,boat,grass,,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.623188406,0.47826087,0.086956522,0.52173913,0.695652174,0.043478261,0.365217391,,,,,,,,,,,,
64,adults,36,Male,,,,,,a,a,b,b,a,a,teacher,banana,fence,pillow,shell,grass,,,,,,,,,,,,,,0.608695652,0.391304348,0.130434783,0.652173913,0.47826087,0.463768116,0.47826087,0.869565217,0.347826087,0.695652174,0.782608696,0.634782609,,,,,,,,,,,,
65,adults,36,Male,,,,,,a,a,a,a,a,a,teacher,banana,fence,pillow,shell,grass,,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.623188406,0.47826087,0.869565217,0.347826087,0.695652174,0.782608696,0.634782609,,,,,,,,,,,,
66,adults,38,Female,,,,,,a,a,a,a,a,a,teacher,banana,tree,pillow,shell,trees,,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.623188406,0.217391304,0.869565217,0.52173913,0.695652174,0.782608696,0.617391304,,,,,,,,,,,,
67,adults,47,Male,,,,,,d,a,b,a,b,a,teacher,banana,fence,book,starfish,grass,,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.086956522,0.47826087,0.434782609,0.47826087,0.869565217,0.347826087,0.086956522,0,0.356521739,,,,,,,,,,,,
68,adults,40,Female,,,,,,b,c,b,a,c,c,teacher,banana,fence,pillow,shell,swings,,,,,,,,,,,,,,0.217391304,0.391304348,0.608695652,0.043478261,0.130434783,0.289855072,0.173913043,0.869565217,0.347826087,0.695652174,0.782608696,0.573913043,,,,,,,,,,,,
69,adults,38,Female,,,,,,a,a,a,c,a,a,teacher,banana,tree,pillow,shell,trees,,,,,,,,,,,,,,0.608695652,0.304347826,0.173913043,0.652173913,0.47826087,0.47826087,0.217391304,0.869565217,0.52173913,0.695652174,0.782608696,0.617391304,,,,,,,,,,,,
70,adults,37,Female,,,,,,a,a,a,c,d,a,teacher,banana,tree,pillow,shell,grass,,,,,,,,,,,,,,0.608695652,0.304347826,0.173913043,0.086956522,0.47826087,0.289855072,0.47826087,0.869565217,0.52173913,0.695652174,0.782608696,0.669565217,,,,,,,,,,,,
71,adults,38,Female,,,,,,a,a,b,a,a,c,teacher,banana,fence,pillow,shell,trees,,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.130434783,0.623188406,0.217391304,0.869565217,0.347826087,0.695652174,0.782608696,0.582608696,,,,,,,,,,,,
72,adults,45,Male,,,,,,a,a,a,a,a,b,teacher,banana,fence,pillow,ice cream,trees,,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.130434783,0.623188406,0.217391304,0.869565217,0.347826087,0.695652174,0.043478261,0.434782609,,,,,,,,,,,,
73,adults,36,Female,,,,,,b,b,b,a,a,d,teacher,chair,fence,pillow,boat,grass,,,,,,,,,,,,,,0.043478261,0.391304348,0.608695652,0.652173913,0.130434783,0.434782609,0.47826087,0.086956522,0.347826087,0.695652174,0.043478261,0.330434783,,,,,,,,,,,,
74,adults,41,Female,,,,,,a,c,d,a,a,a,teacher,chair,tree,pillow,shell,swings,,,,,,,,,,,,,,0.217391304,0.130434783,0.608695652,0.652173913,0.47826087,0.492753623,0.173913043,0.086956522,0.52173913,0.695652174,0.782608696,0.452173913,,,,,,,,,,,,
75,adults,40,male,,,,,,a,c,c,b,a,b,teacher,banana,tree,book,ice cream,dog,,,,,,,,,,,,,,0.217391304,0.043478261,0.130434783,0.652173913,0.130434783,0.333333333,0,0.869565217,0.52173913,0.086956522,0.043478261,0.304347826,,,,,,,,,,,,
